text,category
"
Сьогодні кошти, які були повторно списані 03.03.2020, повернулись на карту.
",Positive
"
Всё хорошо, но к сожалению кредитный лимит маловат.В Привате лимит куда выше, но там свои минусы… Хочу оставить одну карту, думаю…
",Positive
"
ПОВІДОМЛЕННЯ ВІД MONOBANK. Сьогодні вночі Альфа Банк повторно провів раніше здійснені операції за карткою від 27.02 та їх28.02 з використанням їх наземних або інтернет терміналів.

Повторна операція відбулася 03.03.2020 в 05:48. Проводилась оплата залізничних квитків Online. До цього моменту роботою monobank був задоволений. Про подібну ситуацію написав сьогодні ще один клієнт банку. Збігаються навіть дата та час операції 03.03. 2020 05:48.
",Positive
"Обращалась в отделение банка для получения кредитной карты. Сотрудник Корж Н. рассказала доступно условия пользования картой. Процесс оформления занял мало времени и не пришлось долго ждать решения банка. Также, сотрудник ознакомил с мобильным приложением, где рассказал какие операции в нем можно совершать. Визитом в отделение банка очень довольна.",Positive
"
Монобанк вроде не плохой банк но как и у всех банках есть плюсы и минусы были у моно разные акции под которые я и многие следили за ними под железную карту и т п белую и даже видео на Ютубе всё ок.
Все пишут что мне начислили кредит мне нет, не забывайте что деньги даются в долг и вы их обязани вернуть всё равно что у саседал взять.Дальше на счот кредитного лимита зометте что не за 1000 разных ситуаций а есть время и день когда вам дадут кредит
",Positive
"Работа Вашего Банка ПУМБ, а именно центральное отделение, на высоком уровне. Работники Банка ведут себя вежливо, на вопросы отвечают оперативно и обслуживают быстро, без особых задержек и потери времени. Огромное всем спасибо, кто организовывает так работу, а ребята, дежурящие при входе, заслуживают поощрения и продвижения по работе. Они просто молодцы! Огромное спасибо и удачи.",Positive
"
Дивний банк у серці Києва. Призначили мені зустріч, щоб оформити кобрендову з Portmone картку. Телефонували, ставили безліч питань, сказали взяти паспорт та ІПН. Приїхав. Дівчина питає:
— А де ваш Витяг?
— Є на телефоні фото, — кажу.
— Ні, таке не підійде. Має бути оригінал.

Ну я б ще зрозумів, якщо картка була б кредитною. Звичайнісінька дебетова!

Витратив час, приїхав, щоб взяти вами ж нав'язану картку! Що я без неї не проживу? В мене карток вистачить на трьох! Відстійний сервіс і вражаюча бюрократія!!!

Це було ще наприкінці жовтня 2018 року. За цей час вже тричі мені телефонували з банку і казали, щоб я забрав картку. Я кожного разу їм відповідав, що мене такий сервіс не влаштовує і хай її закриють. Чекаю на четвертий захід, бо не розуміють…
",Positive
"
Подав заявку на закриття проблемної кредитної карти, повністю все оплатив ще 03.09.2019.і от пройшло вже майже 90 днів, а рішення ніякого нема.на гарячій лінії відповідають одне і те ж(ваша заявка в роботі, очікуйте дзвінка).і все, ніяких термінів навіть приблизно ніхто не може сказати.
",Positive
"
ХОрошие ставки по депозитам. хороший интернет банкинг.
",Positive
"
1 марта пересекал украинско-польскую границу и в Дюти Фри решил осуществить покупку. Платеж по карте был сразу отклонен и в приложении пришло уведомление, что если хотите совершить покупку подтвердите свое намерение нажав «Разрешить следующий». Через секунду оплата по карте прошла и в приложении пришло сообщение «Добро пожаловать в Польшу» с указанием курса гривны к местной валюте. По мере того, как двигался в глубь Европы — пересекал административные границы других государств банк мне присылал сообщения в приложении о том, что въехал в другую страну и что курс гривны к местной валюте такой-то. Отдам должное системе безопасности и своевременному информированию за такой сервис. За рубежом по карте Монобанка совершил десяток платежей и все они прошли без проблем в отличии от Приватбанка. На Букиг.ком хотел оплатить отель и платеж был отклонен. Перебросил недостающую сумму на карту Моно и платеж был моментально осуществлен. В завершение скажу, что сервисом очень доволен.
",Positive
"
Понравилось оперативное получение карты. Мгнновенные транзакции без комисионных. Плата за квартиру, телефон… кешбек тоже порадовал. Кредитные не брала, пробовать нету надобности. Пока все нравиься)
",Positive
"Сегодня, 16.03 второй раз пользовался услугами банка, а именно покупал доллары. США. Поразило обслуживание. Кассир заслуживает похвалы. Это настоящий европейский банк. Спасибо Вашим сотрудникам! И напоследок: ""Мы работаем для Вас, приходите!"" – это впечатляет.",Positive
"
Монобанк це суперський банк, до сьогодні я не знала що є такий банк, потім по рекомендаціям друзів я перейшла за посиланням, яке мені відправила подруга і зареєструвалась. Ще такого швидкого процесу реєстрації в банку я не бачила. По перше це зручно, по друге швидко і доступно, адже зараз майже всі мають смартфон з мережею інтернет та з камерою. Це дуже круто. Але мене вразило те що коли забравши карту, і зареєструвавшись я отримала 50 гривень кешбеку, і зрозуміла те що коли буде не вистачати коштів то можна просто отримати ще 50 грн тому що маючи багато друзів це дуже доступно. Я вдячна розробникам цього банку, за такі цікаві ідеї, за зручність, практичність, а також за крутий дизайн карти, мій один з улюблених кольорів це чорний тому я в захваті від чорної карти. Тому я рекомендую своїм знайомим і друзям використовувати саме монобанк за практичність і зручність.
",Positive
"
Добрий день. Вже декілька років маю кредитку картку вашого банку, через серйозні фінансові труднощі та проблеми зі здоров‘ям останній рік не мала можливості вчасно сплачувати кошти, а через великі відсотки і дуже велику суму за прострочення взагалі не маю можливості закрити прострочену заборгованість, але дуже цього хочу. Вже зверталась у відділення банку, але там не допомогли. Дуже прошу дати мені можливість реструктуризації боргу, для того щоб вирішити проблему з вашим банком, або надати можливість закривати частинами, ненараховуючи захмарних відсотків і штрафів. Дуже сподіваюсь на вашу лояльність.
Оцінка за обслуговування виключно для касирів Таскомбанк у м. Житомир, надзвичайно приємні і ввічливі.
",Positive
"
Являюсь багато років клієнтом банку в м. Рівне. Кредитів не брав а тільки розміщував депозит і оплачував комунальні платежі. Можу підкреслити, що працівники банку уважні до своїх клієнтів і ніяких проблем в мене не виникало. Вважаю, що цей банк один з кращих по сервісу і інтернет-банку з тих, що залишились в Україні.
",Positive
"Выражаю особую благодарность Завалихатько Оксане за превосходное обслуживание, человеческое и чуткое отношение, внимание и корректность. Искренняя благодарность и от всех клиентов банка «Финансы и Кредит» Желтоводского отделения, которые обслуживались в Оксаны в отделении №4 ПУМБ в г.. Кривой Рог. Оксану уже все знают в г.. Желтые Воды как лучшего оператора ПУМБ.",Positive
"
Карткою Монобанк користуюсь неповний рік, подобається все, але хочеться більше логічних зручних опцій у додатку. Наприклад, щомісячні обов'язкові оплати (комуналка, інтернет моб. зв'язок) варто зробити автоматичними. Вам, певно, багато разів про це писали, але це справді +1000 до зручності і спокою клієнтів банку. Нагадування про оплату — зовсім не те(.

Коти-нагороди. Милі, але було би круто, якби їх можна було посортувати. Для прикладу: спершу (зверху) — всі отримані коти-нагороди, далі — завдання у процесі виконання, залежно від близькості цілі, і в кінці — невиконані поки завдання для отримання нагороди. Це візуально зручно. Ви ж любите, щоб так було?

Блокування карти. Зробіть подвійне підтвердження для такої дії, будь ласка. Вкладка висить першою зверху. Це дуже зручно, правда. Але інколи, швидко гортаючи додаток, можна випадкого заблокувати карту. Так, розблокуватя її можна так само миттю, але друге нагадування — зручна штука в подібних операціях.
",Positive
"
Обслуживаюсь в банке с 2011 года.
Все устраивает. В том числе и мобильное приложение.
Только хотелось бы, чтобы в приложении была реализована возможность отправить себе выписку на е-мейл.
",Positive
"
Нещодавно став клієнтом банку — оформив дві картки: Platinum L (привабила мультивалютність, на одній картці 5 валют) і Portmone (виключно для розрахунів на одноіменному сервісі).Перше, що сподобалось — просторе світле приміщення, навіть при досить великій кількості клієнтів немає відчуття юрби.Начальник відділення-приємна у спілкуванні, також відчувається, що це фахівець у своїй справі.Персонал відділення — ввічливий та компетентний, всі процедури по офрмленню документів були здійснені достатньо швидко.Картки були готові у обіцяний термін — через тиждень, але СМС, яке повинне було надійти, коли картки прибули у відділення, чомусь так і не надійшло.Інтернет-банкінгом поки що у повну силу ще не користувався, але принаймні побачив, що він достатньо зручний для перегляду інформації по залишках, історії операцій та статусів карток та рахунків.Підсумок-поки що враження позитивні. Далі — попрацюємо, побачимо.
",Positive
"
Здравствуйте! По Монобанку очень часто, чаще всех других банков, за которыми слежу, пишут негативные отзывы касательно отказа в кредитном лимите.

Сегодня понадобились деньги, установил кредитный лимит в размере 10000 грн., в течении минуты получит деньги на карту, заявку утвердили. Так вот, к чему я, долго расписывать не буду.

Если вам не дали кредитный лимит, значит это не банк плохой, а вы натворили каких-то делов в других банках или МФО. И писать простыни, какой Монобанк плохой, убрал кредитный лимит или отказал в нем, смысла нет. Любой банк анализирует кредитную историю клиента, прежде чем установить лимит. Точно также, если у вас друг попросит в долг, вы оцените его платежеспособность, условно говоря. Если человек работает, хорошо живет, или ведет бизнес, и произошла ситуация, что понадобились деньги на месяц, вы дадите ему в долг, понимая, что ему можно доверять. А если обратится человек, который должен другим знакомым, и не отдает, вы дадите ему деньги? Думаю, что нет.
",Positive
"
Давно хотів написати, а найшов час аж зараз. 19.02.2020 відкривав рахунок в банку Universal, вул.Федьковича, м.Львів. Раніше його клієнтом не був, про різні «примочки» і особливості не знав. Обслуговував мене молодий менеджер Андрій. Так от, хочу сказати велике дякую Банку за таких висококваліфікованих працівників, справжніх професіоналів своєї справи. Андрій дуже скоро все розказав по суті без водички і незрозумілих термінів, внятно все пояснив і порадив. Аналогічну операцію проводив недавно в іншому банку, так мене там протримали з годину… а тут за 15хв. все зробили, та ще й все зрозуміло і ясно. Керівництву банку таких працівників потрібно тримати на особливому рахунку, адже вони піднімають марку Банку) Менеджеру Андрію респект і подяка!
",Positive
"
ИМХО, лучший банк. Удобно, хорошие условия по кредитной карте, спасибо за белую дебетовую. Саппорт в мессенджерах отвечает быстро (и в Вайбер, и в Телеграмм), и дозвониться — не вопрос. Классные стикеры с монокотом, вот поздравили с 8 марта тоже прикольно. Приятно и комфортно. Пополняю телефон, коммуналка, снимаю деньги, перевожу на карты другим. Пока очень довольна, тьфу-тьфу, чтобы не сглазить.
Были бы ещё карты для соцвыплат — перешла бы на обслуживание полностью.
",Positive
"
В Житомире в общественном транспорте происходили какие-то сбои, из-за которых начали происходить непонятные списания с карты. Позвонил в поддержку узнать, что лучше предпринять, на что недалёкая Екатерина заблокировала мне карту, аргументируя это тем, что я звоню не с финансового номера, к которому доступа в момент не было. Начал говорить, что я не разрешаю блокировку карты, мне нужно только спросить и сказал, что есть доступ к приложению, карте, но не к фин.номеру, на что она мне как «умница» талдычила «ничего нельзя сделать, пока нету доступа к фин.номеру».

Позвонил снова, уже девушка Ира(имя точно не помню, злой был) давай всё ту же тему мне толкать. Я спросил или они умеют там голову включать и помогать решать проблему, а не одно и тоже говорить. Итог такой же.

Уже позвонив в третий раз, мне ответил парень Сергей, который спокойно предложил варианты решений. Предложил изменить старый номер(Лайф) на новый(Киевстар), я согласился, после чего он мне позадавал вопросы для подтверждения личности и всё, в течении получаса всё поменяли и наконец проконсультировали меня по моему изначальному вопросу!

Монобанк, пожалуйста, проверьте квалификацию ваших сотрудников. Это лично мой опыт, уверен, что не всё так плохо, но я потратил время и энергию, которую мог бы и не тратить.
",Positive
"
Простота обслуживания, приложение моно-банка просто радует, есть возможность ложить средства на депозит, отличный кешбэк, деньги всегда на виду! Ставлю пять звезд, другого банка с такими возможностями для клиента в Украине нет!
Желаю успехов разработчикам данного банка!
",Positive
"
Еще когда мне не было 18 лет и я не мог получить банковскую карточку, я начитался гневных отзывов о разных самых популярных банках Украины и достаточно долго боялся уходить в овердрафт, оплачивать частями, брать «кредитные средства». Боялся, что могут быть какие-то скрытые платежи итд. В какой-то момент, когда я начал зарабатывать стабильную сумму — решил попробовать поднять кредит до уровня «почти зарплата». Мол, на крайняк, будут деньги и закину, погашу овердрафт.
Если вкратце — у меня сложилось впечатление, что негативные отзывы оставляют только те, кто сам неправильно понял условия той или иной услуги и попал в просак. У меня всегда есть чёткое понимание, что у меня есть 60 дней, чтобы выйти из овердрафта и так всегда и выходит. Хоть на одну гривну уйти в плюс и можно снова 60 дней пользоваться кредитными средствами. Приложение само напоминает, если у меня заканчивается срок. Я очень рад, что в монобанке я могу так просто выйти в овердрафт и купить то, что мне хочется.

+ Оплата рассрочки с кредитных средств без комиссии
+ Оплата вообще чего угодно без комиссии
+ Просто получить кредит
+ Кэшбек
+ Быстрый ответ саппорта в мессенджерах
+ Могу оплачивать на newegg и через paypal (приват почему-то не давал)

Теперь об улучшениях — возможно это часть какого-то маркетинга но всё же не всегда понятны некоторые условия исходя из интерфейса приложения моно. Взять тот же перевод траты в рассрочку, вопрос, который уже поднимался, было бы неплохо написать условия по тратам не старше 7 дней прямо в приложении и ограничить выбор траты этим временным диапазоном.

Еще один пункт который не всем понятен — выход из льготного периода, только на сторонних сайтах я узнал, что проценты по овердрафту будут капать каждые сутки после 60ти дней. Я могу понять это, надо ж как-то зарабатывать) Но всё равно, кто поинтересуется — тот найдёт.
",Positive
"Я являюсь клиентом Вашего банка и хочу выразить благодарность за высокое качество обслуживания специалиста Дяченко Виты, которая помогла решить все мои финансовые вопросы и даже способствовала разблокированию моего счета, и вернула мои средства, о которых я даже не знал во время визита для закрытия кредита. В подарок получил Кредитную карту от Вашего Банка, за что очень благодарен.",Positive
"
Пользуюсь Монобанком уже более 4 месяцев, все вопросы которые у меня возникали по роботе банка или же у меня блокировали какой-то перевод, операторы решали быстро в течении 2-3 минут и сразу же мне предоставляли решение какого либо интересующего меня вопроса. Приложение очень удобно в использовании, нет ничего скрытного, чтобы могло вызвать подозрения. Пользовалась очень большим количеством разных банков и всегда возникали трудности. Но в Монобанке все по другому очень доступный банк с опытными специалистами, который знают толк в своей работе. Всегда проинформирована про какие-либо списания с карты. А если вы чаще всего пользуетесь безналичной оплатой, тогда Монобанк станет прекрасным банком для вас, каждый месяц вывожу не меньше 100 гривен кэшбека. ВСЕ ДРУЗЬ ПОЛЬЗУЮТСЯ ДАННЫМ БАНКОМ И ОООЧЕНЬ ДОВОЛЬНЫ. После пользования Монобанком полностью отказалась от услуг Приват банка и непосредственно других банков, так как их услуги более меня не заинтересовали. Монобанк теперь часть меня и моей дизни❤️
",Positive
"
Взагалі у Таскомбанка, як на мене, сервіс не дуже хороший, є багато складностей/неясностей…
Але подзвонила я в колл-центр і вони мені розказали як можна купляти валюту онлайн без комісії і як можна без комісії знімати. Перевірила сама, спрацювало. Тепер можу поділитись інструкцією. Думаю, що багатьом буде корисно:

1. Відкрити Ощадний рахунок в гривні і в доларі і в євро. Залежно від того яка саме валюта вам потрібна, до тих рахунків і відкриваєте такі собі карти «Плавки». Відкриття і обслуговування безкоштовне.
2. Далі відкриваєте кредитку. Наприклад велика 5 ( в мене вона вже була). Також безкоштовне відкриття і обслуговування.
Якщо зробили це, то тепер можете робити і обмін валют.

Тепер заходите в TAS2you. Приміром, вам потрібно з вашої кредитки купити долар, закинути цей долар на карту Плавтивку і потім ви можете ці гроші зняти через касу безкоштовно. Ще можна закинути на Ощадний рахунок в доларах і там вам будуть нараховуватись відсотки. Так як це рахунок за вимогою, то можна зняти гроші без комісії в будь-який момент через касу.

Ще важливий момент — кредитну картку потрібно погасити за час пільгового періоду до 25 числа кожного місяця, щоб вам на кредитні кошти не начисляли ніяких відсотків!!!

Я часто купляю на іноземних сайтах товари, тому був смисл відкрити доларову картку, бо раніше платила гривневими і переплачувала за конвертацію. Тепер плачу в доларах і комісії нема
",Positive
"
Розмістив у банку два депозити (відділення у Львівській обл., м. Стрий, вул. Шевченка, 48). Один депозит віддали одразу. Але співробітниця перевела мені ці гроші на картковий рахунок і забула (або не знала) чи не захотіла попередити, що знаття більше 30000 грн з картки в день обкладається комісією. У результаті я втратив гроші. Потім виявилось, що вона могла видати мені ці кошти іншим способом, без комісії.
У підсумку — банк отримав пару сотень гривень, але втратив репутацію. Жодних депозитів.
",Positive
"
Користуюся кредитною карткою. Яке ж було моє здивування, коли мені нарахували відсотки за користування кредитом у лютому! Написала в чат, мені клянуться, що у мене пільгового періоду за користування кредитними коштами у лютому немає! Останнім часом боремося за фінансову грамотність споживачів. А тут все так завуальовано і непрозоро. Простий споживач розуміє, чому з початку лютого закінчилися 62 дні пільгового періоду? У конверті, в якому приносять картку, намальована чітка схема нарахування пільгового періоду, і так працює у всіх банках.
",Positive
"
Стал клиентом Монобанка в прошлом году, вырвавшись из кабалы Ощадбанка.
За это время ни разу не пожалел. Обслуживание в точках выдачи отличное и быстрое. Приложение понятное, без глюков и выбросов (как у Ощадбанка). Куча интересных плюшек, прозрачные условия, кэшбек и возможность оплачивать услуги без комиссии. Плюс высокий уровень безопасности и отличная техническая поддержка клиентов.
",Positive
"
В цілому чудовий додаток, дуже зручний в користуванні, проте не всі умови чітко описані. За останній тиждень стикнувся з двома проблемами про які навіть не підозрював, підтримка виявилась безпорадною.

Проблема перша.
Оплата частинами: на сайті є перелік партнерів з якими працює Монобанк. Першим стоїть Розетка, але коли намагався придбати побутову техніку з опцією оплати частинами, така опція виявилась відсутня в самій Розетці, думав акційний товар, почав шукати інші речі, не знайшов жодного продукту де можлива оплата частинами від Монобанку. Підтримка безпорадно розвела руками, перекинувши відповідальність на партнера (Розетка).

Пропозиція: Підтримка могла б поцікавитись, що їхній клієнт хоче придбати, знайти цей товар в інших партнерів, де опція частинами працює і запропонувати дану альтернативу.

Проблема друга.
Реферальна програма: запросив товариша стати клієнтом Монобанку, товариш підключився, але бонусів нікому не нарахували. Знову звернувся в підтримку, отримав відповідь, що товариш робив спробу реєстрації до цього. Щодо цього твердження маю великий сумнів по коректності роботи системи перевірки. З іншого боку товариша конвертнув сам я, а у відповідь отримав тільки вибачення і знову безпорадність.

Пропозиція: прошу зазначати ці умови на сторінці реферальної програми, також можете чітко помічати людей за яких нараховується бонуси.

Дуже неприємно отримувати такий досвід від продукту який подобався.
",Positive
"
Раніше, не будучи клієнтом Ощадбанку, він асоціювався мені ще з тими Радянськими установами. Коли почав користуватися послугами, я повністю усвідомив, на скільки я помилявся! Це напевно найкращий банк в нашій країні. Заходячи у відділення почуваєш себе справді бажаним, тим, кого завжди чекають і раді бачити! Був навіть випадок, зайшов у відділення, настрій був не дуже, та щира посмішка та ввічливе привітання адміністратора вже на вході, відразу змінили моє самопочуття. Це був ранок, тож протягом усього дня я почував себе прекрасно!
Та і по самій роботі системи, все на найвищому рівні. Я задоволений! Дякую!
",Positive
"
Ще таких вибачте *** не бачила. НЕМОЖЛИВО ПРОСТО ЗАРЕЄСТРУВАТИСЯ В ІНТЕРНЕТ-БАНКІНГУ-ЦЕ ВЕРХ НЕПРОФЕСІОНАЛІЗМУ. Відкрила в травні доларовий депозит. Потім відкрила під нього доларову картку. Поповнила її пару разів, зробила деякі оплати. І для зручності вирішила зареєструватися в інтернет-банкінгу. АГА, ЗАРАЗ. Ще такого не було, виявляється? щоб зареєструватися в ньому треба мати обов'язково саме гривневий рахунок, якщо є тільки валютний, то ні. Ну, добре, в кожного банку свої причуди. Відкрила гривневий ощадний — всерівно не пускає.Дзвоню третій день — відповідь- передзвоніть завтра. Решта аспектів роботи банку не викликає нарікань.
",Positive
"
Мене цікавили відсотки по Депозиту, через Мінфін я потрапила на сайт банку, щоб ознайомитися з відсотками на головній сторінці там я виграла термос. Наступного дня мені перезвонили, сказали, що я виграла термос, уточнили адресу, щоб його отримати протягом місяця я повинна була відкрити депозит. Я ВІДКРИЛА ДЕПОЗИТ, ПРОТЯГОМ 10ДНІВ Я ПОВИННА БУЛА ОТРИМАТИ ПОДАРУНОК. МИНУЛО 10ДНІВ. Я телефонувала на гарячу лінію і на гадувала про себе. Говорили, що перезвонять. НІХТО НІЧОГО НЕ ЗНАЄ В СЛУЖБУ ДОСТАВКИАВКИ ДОЗВОНИТЬСЯ НІХТО НЕ МОЖЕ. Одним словом розводять людей як можуть аби кошти приносили.
",Positive
"
Ставки по депозитах у відділенні нижчі, ніж на сайті банку.Хто обманює клієнтів: філія чи головний банк?
",Positive
"Я еще никогда прежде не встречал ни в одном банке такого уровня сервиса как в ПУМБ. Всё на высшем уровне! Особая благодарность Татьяне (руководителю отделения) за заботливое отношение. Она просто, как наша финансовая ""мама"". Благодаря ей в отделении себя чувствуешь комфортно, как у себя дома. Благодарность руководителю отделения.",Positive
"Желаю оставить благодарность для работника отделения банка г. Херсон пр. Ушакова, 58 руководителю отделения Таросовой Наталье Владимировне за ее профессионализм в работе, и то, что Наталья Владимировна - профессионал в своем деле, что помогла решить проблему. То, что она добрая и ответственная.",Positive
"
Здравствуйте!

Неплохо смотрится вкладка с бюджетом по картам, где по секторам разделены все траты — сколько я потратил на продукты, сколько на транспорт и тд. Но есть одно но, которое лично мне бы хотелось поправить.

Идея в чем — я стараюсь вести учет своих денег через сторонние приложения, где есть в принципе те же самые категории, только их немного больше. Каждую трату вносить не совсем удобно. Было бы круто, если при нажатии на определенную категорию будет открываться перечень со всеми тратами, которые я провел в том или ином месяце.

Например, условно у меня бюджет 1000 грн. Я захожу сейчас, и вижу — 500 грн. я потратил на продукты, и 500 грн. коммуналка. И при нажатии на «Продукты» у меня открывается полный перечень всех трат из этой категории, чтобы я мог четко понимать более детально картину.

Спасибо!
",Positive
"
Звернувся на відділення для отримання кредиту. Моя заявка CL-184522. Після тривалого очікування я отримав дзвінок від менеджера зі звісткою — максимальна сума кредита зрізана до 100 000грн, при бажаній сумі 300 000. Причиною відмови мені не повідомили, наявних проблем для зрізання суми немає. При зверненні на відділення для вияснення причини — мені відмовили повторно. Перебуваючи на відділення я почув розмову працівників банку з кимось, і основні слова їхні були — кредит погоджено! но через Гребенкину Тетяну видача кредиту неможлива.
Завдяки пані Тетяні я отримав кредит в іншому банку, без проблем та ще з меншим платежем.
",Positive
"
25.04.19 повністю оплачен кредит. Довідку до цього часу не маю. Кожен день телефонувала до відділення Кредо банку на Перемоги м. Київ. Відповідали — перетелефонуйте завтра. Потім відповідали — це не ми. це зі Львову не дають довідку.
",Positive
"Хочу оставить благодарность для сотрудника отделения г. Полтава отделение №3 Чайку Алёну. Очень доволен креативным мышлением сотрудника и за очень быстрое решение моей проблемы. Хочу акцентировать внимание на том, что сотрудник по-современному подошел к решению вопроса, воспользовавшись ПУМБ Онлайн. Я не сидел в очереди и за это очень благодарен.",Positive
