text,category
Онлайн замовлення буде можливе на весь тираж продукції чи тільки на якусь його частину?,SiteAndCoins
"Чи буде можливість замовлення монет, які увійшли в обіг раніше 12 жовтня 2016 рок",SiteAndCoins
Яку кількість пам’ятних монет на одну особу можна буде замовити?,SiteAndCoins
"Чи може монети викупити інша особа з документами особи, яка робила замовлення?",SiteAndCoins
Послуга онлайн замовлення є безоплатною?,SiteAndCoins
Як саме буде здійснюватися розподіл по регіонам України?,SiteAndCoins
Чи можлива доставка замовлених монет на адресу замовника?,SiteAndCoins
Розрахунок за монети можливий тільки у готівковій формі?,SiteAndCoins
Монети можна буде викупити тільки у відділеннях НБУ чи у банків-дистриб’юторів також?,SiteAndCoins
"Як дізнатися чи розпочався продаж замовленої монети через відділення АТ «Ощадбанк», якщо в особовому кабінеті замовлення має статус «передано до Ощадбанку»?",SiteAndCoins
"Забув(ла) свій логін, що був вказаний при реєстрації, що робити?",SiteAndCoins
Забув(ла) пароль для входу в систему. Що робити?,SiteAndCoins
"Реєструюся в системі, набираю пароль, постійно підсвічує червоним і не пропускає далі. У чому справа?",SiteAndCoins
"Як внести виправлення в особисті дані, що були зазначені при реєстрації?",SiteAndCoins
Що означає поле «Регіон отримання замовлення» в закладці «Персональні дані»?,SiteAndCoins
"В особистому кабінеті не відображаються замовлення, які були нещодавно здійснені, чому?",SiteAndCoins
"Натискаю «Замовити», але замість монет бачу повідомлення «На жаль, вичерпана кількість доступної продукції для замовлення в обраному регіоні отримання.»?",SiteAndCoins
"Кожного дня захожу в систему, але монет для замовлення немає, коли будуть замовлення на нові монети?",SiteAndCoins
"Тираж монети великий, а вже через 20 хвилин в певній області я не можу її замовити, пише вичерпана кількість доступних монет.",SiteAndCoins
Как мне отменить операцию в системе покупки монет,SiteAndCoins
Возможно ли изменить личные данные в системе ,SiteAndCoins
Как обновить персональные данные?,SiteAndCoins
Как зарегистрироваться,SiteAndCoins
Как изменить пароль,SiteAndCoins
Не могу выбрать монету,SiteAndCoins
Заблокирован доступ,SiteAndCoins
Где нажать галочку я не робот,SiteAndCoins
"Не могу подтвердить, что я не робот",SiteAndCoins
"Как подтвердить, что я не робот",SiteAndCoins
"Нет капчи для подтверждения, что я не робот",SiteAndCoins
НЕ могу зарегистрироваться,SiteAndCoins
"національний банк України звертає Вашу увагу щодо недоцільності дублювання персональних даних, замовлення монет без наступного їх придбання та можливості анулювання замовлень в персональному кабінеті.",SiteAndCoins
Шановні користувачі системи “ON-LINE ЗАМОВЛЕННЯ”!,SiteAndCoins
Інструкція користувача сервісу “ON-LINE ЗАМОВЛЕННЯ”,SiteAndCoins
"Здійсніть вхід до системи або пройдіть реєстрацію на сервісі у разі, відсутності реєстрації.",SiteAndCoins
"перегляд актуальних замовлень або анулювання замовлень шляхом натискання піктограми  в колонці «Номер замовлення» (доступна лише протягом часу, коли здійснюються замовлення в системі на зазначену монету);",SiteAndCoins
"Якщо при реєстрації система повідомляє, що зазначені персональні дані вже існують у системі або у випадку забуття логіну, напишіть листа адміністратору технічної підтримки на адресу:support.online@bank.gov.ua.",SiteAndCoins
Після входу до системи натисніть на розділ «Замовити».,SiteAndCoins
"За потреби оберіть регіон, в якому бажано здійснити замовлення.",SiteAndCoins
зміна електронної поштової адреси;,SiteAndCoins
"В колонці «Оберіть кількість, шт.» зазначте кількість монет для замовлення",SiteAndCoins
Натисніть кнопку «Підтвердження».,SiteAndCoins
"Пройдіть процедуру перевірки «Я не робот», яка спрацьовує автоматично і не потребує ніяких дій з боку користувача.",SiteAndCoins
надсилання заявки адміністратору для зміни персональних даних (у разі виявлення помилки в них) в закладці «Персональні дані»;,SiteAndCoins
"При успішному здійсненні замовлення на екрані з’явиться таблиця з відповідною інформацією: назва монети, номінал, метал, дата введення в обіг, замовлена кількість, номер замовлення. Інформацію про здійснене замовлення можна відправити на поштову адресу, зазначену при реєстрації, переглянути в новій вкладці браузера або зберегти у вигляді файлу на свій локальний диск.",SiteAndCoins
"Повідомлення: «На жаль, вичерпана кількість доступних монет для замовлення в обраному регіоні отримання.» означає, що іншими користувачами сервісу були замовлені всі монети в даному регіоні (ліміт вичерпано). Оберіть інший регіон за потреби.",SiteAndCoins
В особистому кабінеті користувача (доступ лише при здійсненні входу в систему) існують наступні можливості:,SiteAndCoins
"зміна регіону отримання замовлення (по замовченню) в закладці «Персональні дані». Увага!! Зміна регіону отримання не впливає на регіон отримання здійснених замовлень. Регіон отримання замовлення – це регіон, який можна зазначити як пріоритетний, для автоматичного відображення доступних замовлень в ньому, при натисканні пункту меню «Замовити»;",SiteAndCoins
перегляд історії попередніх замовлень.,SiteAndCoins
Отримання замовлення за готівку здійснюється у визначеному в замовленні:,SiteAndCoins
відділі (управлінні) грошового обігу певного регіону – для монет попередніх років випуску.,SiteAndCoins
"відділі (управлінні) грошового обігу певного регіону або в обласному управлінні АТ “Державний ощадний банк України” у регіоні, де Національним банком України припинено здійснення касового обслуговування – для монет, що передбачені Планом випуску пам’ятних та інвестиційних монет, сувенірної продукції на відповідний рік;",SiteAndCoins
Зміна статусу замовлення в особистому кабінеті зі «збережено» на:,SiteAndCoins
"«надійшло до ТУ» свідчить про те, що можна викупити замовлення у відділі (управлінні) грошового обігу певного регіону;",SiteAndCoins
"«передано до Ощадбанку» свідчить про те, що інформація щодо замовлень передана до АТ “Державний ощадний банк України”. Через певний час можна отримати своє замовлення у обласному управлінні АТ “Державний ощадний банк України”. Інформація щодо адрес, режимів роботи та контактних телефонів по обласним управлінням АТ “Державний ощадний банк України” розташована в меню «Пункти продажу».",SiteAndCoins
"«замовлення не підтверджено» свідчить про те, що інформація щодо замовлень не передана до АТ “Державний ощадний банк України”, у зв'язку з блокуванням облікового запису на дату передачі замовлень до АТ “Державний ощадний банк України”. Інформація повторно не передається.",SiteAndCoins
